feature,importance
days_since_last_order_mean,0.19022061
order_frequency_per_month,0.088188894
total_volume_tonnes,0.07449176
ordering_consistency_score,0.062135845
volume_per_day,0.040971097
rolling_avg_days_7,0.036016412
product_switched,0.03539825
rolling_avg_days_5,0.034097288
client_product_diversity,0.029926354
predicted_annual_volume,0.025064915
order_frequency_at_time,0.02082333
rolling_avg_days_3,0.018028168
days_since_last_order_expanding_std,0.014761988
rolling_std_quantity_5,0.013781276
product_client_avg_quantity,0.013658134
product_encoded,0.013164765
client_order_count_at_time,0.012875347
days_since_first_order,0.012805203
days_since_last_order_expanding_mean,0.01257974
days_since_last_order_std,0.012206184
quantity_expanding_std,0.011775912
total_amount_delivered_tm,0.011639495
quantity_trend,0.010529429
client_lifetime_days,0.0103499815
rolling_std_days_3,0.010053669
order_month,0.010022628
order_size_consistency,0.0099426
rolling_std_days_5,0.009826315
days_deviation_from_mean,0.009771255
rolling_std_days_7,0.009657175
product_popularity_score,0.009513332
rolling_avg_quantity_5,0.009487013
recent_vs_historical_frequency,0.009479181
recency_days,0.009310423
recent_vs_historical_quantity,0.009278148
season,0.009229041
rolling_std_quantity_3,0.009190017
quantity_expanding_mean,0.009036366
month_sin,0.009018165
product_client_frequency,0.008814921
avg_volume_per_order,0.008656917
rolling_avg_quantity_3,0.007912418
day_of_week_sin,0.0077924402
order_frequency_trend,0.007267821
days_since_last_order,0.0063415444
day_of_week_cos,0.0049083484
cluster_avg_volume,0.0
cluster_avg_frequency,0.0
client_cluster,0.0
is_high_frequency_client,0.0
client_maturity,0.0
client_volume_tier,0.0
cluster_avg_reorder_days,0.0
is_frequency_increasing,0.0
month_cos,0.0
order_quarter,0.0
is_overdue_order,0.0
is_quarter_end,0.0
is_near_holiday,0.0
is_weekend,0.0
is_month_end,0.0
order_sequence,0.0
