Feature,AdaBoost_Importance,BiLSTM_Importance,Average_Importance
days_since_last_order_mean,73.21604762665555,27.305947602172587,50.260997614414066
order_frequency_per_month,4.452651518606478,28.604091927186737,16.52837172289661
total_amount_delivered_tm_count,0.6658198922316516,28.795683026725776,14.730751459478714
days_since_last_order_std,4.456431798755284,3.1696890553306685,3.813060427042976
order_sequence,2.3151824350855312,4.302851025011158,3.3090167300483446
total_amount_delivered_tm,2.3194428901534487,2.2238338025156454,2.271638346334547
days_since_last_order,3.764660032760786,0.07583841403124181,1.920249223396014
client_lifetime_days,0.4772348465493571,2.421907905070283,1.44957137580982
rolling_std_quantity_3,2.479834346916717,0.169716516850653,1.324775431883685
rolling_avg_quantity_3,2.1949807860447157,0.3173334675321755,1.2561571267884455
order_month,0.9431618320422309,1.334720745832098,1.1389412889371644
order_quarter,0.24058655682194616,0.7430120216522977,0.49179928923712196
total_amount_delivered_tm_std,0.8569257620711925,0.08455172226406864,0.47073874216763056
product_encoded,0.6573710989930138,0.21553412641826092,0.4364526127056374
order_day_of_week,0.712843605971073,0.034920269966646086,0.37388193796885955
total_amount_delivered_tm_mean,0.24682497034101075,0.200368371439695,0.22359667089035287
is_weekend,0.0,0.0,0.0
